symbol,token
764AR30-SG,20570
SJLOGISTIC-SM,20542
ACCENTMIC-SM,20488
655AS30-SG,20653
INOXINDIA-EQ,20607
850TPL26-N0,20612
898LTF29-N7,20655
762UP33-SG,20732
714GA30-SG,20667
763GA33-SG,20733
87LTF27-NH,20691
758TS41-SG,20745
688MN31-SG,2078
762KL38-SG,20739
ZEELEARN-EQ,20852
715AP36-SG,20919
EFORCE-ST,20902
MUFTI-EQ,20878
767UK33A-SG,20931
767GA33A-SG,20937
648AP27-SG,20922
JALAN-ST,20930
767UP33-SG,20938
686TS41-SG,2095
772JK43-SG,20947
768KA37-SG,20945
PSB-EQ,21001
SUNCLAY-EQ,20956
INDIGRID-IV,20988
699GJ26-SG,21053
780AP33-SG,21050
1025SCL33-YJ,21030
MANGLMCEM-EQ,2106
KICL-EQ,21119
SAIFL-ST,21105
695HP29-SG,21141
774AP36A-SG,21164
695AS30-SG,21162
HRHNEXT-ST,21120
77AP43A-SG,21168
779PN38-SG,21166
GTPL-EQ,21195
703HR40-SG,21236
774KA36-SG,21274
772KA37-SG,21281
SEITINVIT-IV,21321
1015CLIX25-N0,21331
647GJ30-SG,21422
704MZ33-SG,2143
OPTIEMUS-EQ,21469
764AP31-SG,21494
697RJ51-SG,2150
679AP34-SG,1004
757GS2033-GS,10046
SFMP6DR-MF,10052
SFMP6GD-MF,10055
753AS27-SG,10195
782WB32-SG,10252
SGBJUN30-GB,10232
776HP30-SG,10235
804PN42-SG,10268
801WB41-SG,10393
781RJ32-SG,10462
AARON-EQ,1030
UTINIFTETF-EQ,10511
CONS-EQ,10512
H1158D46RQ-MF,10507
UFLEX-EQ,1053
TCI-EQ,10580
777RJ32-SG,10638
BHARTIARTL-EQ,10604
VEEKAYEM-SM,10710
SURANAT&P-EQ,10700
772AP35-SG,10718
737NTPC35C-NA,10744
774TS46-SG,10784
775PN42-SG,10782
CANBK-EQ,10794
761TN32-SG,10852
771KL42-SG,10845
DREAMFOLKS-EQ,10859
758GA37-SG,10912
68TS50A-SG,1098
758GA37A-SG,11097
RADICO-EQ,10990
LIBAS-EQ,11082
AXISILVER-EQ,11193
KANDARP-ST,11211
749GJ26-SG,11273
SHK-EQ,11212
RADAAN-BE,11268
93SCFL25-Z1,11335
905SCL27-Z4,11342
SIL-EQ,11297
774RJ42-SG,11418
865SCL24B-Z8,11365
782AP35-SG,11412
LICNETFSEN-EQ,11441
654AR30-SG,1157
FROG-ST,11504
774WB39-SG,11607
762GJ29-SG,11589
ASTRAMICRO-EQ,11618
PPLPHARMA-EQ,11571
778MH30-SG,11678
NEWGEN-EQ,1164
678WB35-SG,1169
785BR32A-SG,11682
784AS32-SG,11679
791UP37-SG,11697
795WB39-SG,11700
782RJ32-SG,11765
CONSOFINVT-EQ,11731
IIFL-EQ,11809
93SCL25-ZH,11835
GRANULES-EQ,11872
GODFRYPHLP-EQ,1181
783BR32-SG,11882
YESBANK-EQ,11915
735NHAI31-N9,11954
AMIABLE-SM,11939
76NHAI31-NA,12003
RENUKA-EQ,12026
AURIONPRO-EQ,12022
UTIDMP35P1-MF,12041
DOLATALGO-EQ,12124
HNDFDS-EQ,12173
65KA30A-SG,1227
769GA32A-SG,12301
763TS43-SG,12321
766KA42-SG,12313
667MH32-SG,1251
OSIAHYPER-EQ,12635
KRISHANA-EQ,12847
GFLLIMITED-EQ,1289
755BR32A-SG,13038
SAFARI-EQ,13035
AIAENG-EQ,13086
SFMP73GR-MF,13108
763HP37-SG,13127
ALLETEC-SM,13203
UTIDAP35P2-MF,13150
SGBSEP27-GB,13209
765NL32-SG,13247
KEI-EQ,13310
JAGRAN-EQ,13211
761RJ32-SG,13377
MALUPAPER-EQ,13352
UTTAMSUGAR-EQ,13376
KKCL-EQ,13381
ELIN-EQ,13423
87SCL25-ZV,13477
MOXSH-SM,13502
HEROMOTOCO-EQ,1348
GRINDWELL-EQ,13560
AMJUMBO-SM,1353
VOLTAMP-EQ,13577
767NL33-SG,13626
IRCTC-EQ,13611
HOVS-EQ,13592
SELAN-EQ,13598
653KA30-SG,1365
GEECEE-EQ,13658
ANLON-SM,13657
662RJ30-SG,1369
MADHUCON-EQ,13671
RUCHIRA-EQ,13821
765TN33-SG,13874
77HP36-SG,13896
HIRECT-EQ,13890
AARTIPHARM-EQ,13868
PARACABLES-EQ,13951
UTIRQP35P3-MF,13949
UTIRFP35P3-MF,13947
771WB39-SG,13991
765GJ33-SG,13964
ZEEMEDIA-EQ,14003
656KA30-SG,14
AVTNPL-EQ,14008
984SFIL26A-NK,14030
940SFIL28-NN,14036
1030SFIL28-NM,14034
761TS32-SG,14088
764MP33-SG,14093
771AS33-SG,14160
IMC1-N0,14214
LRRPL-ST,14211
662AS30-SG,1425
66RJ30B-SG,1422
TFL-BE,14323
PGIL-EQ,14260
769WB42-SG,14347
774UK33-SG,14376
773HR32-SG,14369
HDFC2638DG-MF,14335
GOLDBEES-EQ,14428
776MN35-SG,14379
UTIDPP36P1-MF,14395
NAHARPOLY-EQ,14445
704NHAI26-NB,14497
NDLVENTURE-BE,14550
VERTEXPLUS-ST,14503
PHOENIXLTD-EQ,14552
774WB41-SG,14655
735GJ26-SG,14634
773MH34-SG,14645
971SCL28-AN,14718
HFMPM23DND-MF,14731
HFMPM23DQD-MF,14733
HFMPM23RQD-MF,14738
091NSETEST-EQ,14769
141NSETEST-EQ,14781
78JK35-SG,14834
779HP38-SG,14839
783KL39-SG,14840
776KL58-SG,14861
VIPCLOTHNG-BE,14847
IFCI-EQ,1491
F13RP-MF,14949
758AS33-SG,15016
758NL33-SG,15021
759PN33-SG,15019
717GS2030-GS,15050
INDIACEM-EQ,1515
KAUSHALYA-EQ,15136
738GJ30-SG,15260
RPOWER-EQ,15259
QGOLDHALF-EQ,15330
667TS50-SG,1535
NMDC-EQ,15332
TITAGARH-EQ,15414
ATAM-EQ,15404
RECLTD-EQ,15355
APCOTEXIND-EQ,154
SGBDC27VII-GB,15432
74AS33-SG,15508
HCG-EQ,15555
67MH28-SG,158
MGEL-EQ,1593
657HP30-SG,1644
66AS30A-SG,1645
736ML32-SG,16289
743MZ37-SG,16268
658GA30A-SG,1646
651KA30B-SG,1650
VAISHALI-EQ,16589
INFOLLION-SM,16588
736AP37-SG,16649
QNIFTY-EQ,16819
736AP38-SG,16808
737NL33A-SG,16802
741PN34-SG,16804
735AP40-SG,16935
84TCHF28-NA,16874
742AP43-SG,16993
532RJ25-SG,1700
PATANJALI-EQ,17029
ALKALI-EQ,16959
752AP39-SG,17102
745AS33-SG,17117
617KL27-SG,1709
GREENCHEF-SM,17092
ITETFADD-EQ,17207
744RJ33-SG,17122
PAKKA-EQ,17197
744TS39-SG,17224
747HR35-SG,17222
739TN33B-SG,17454
NHPC-EQ,17400
NETWEB-EQ,17433
NV20IETF-EQ,17475
736KL41-SG,17459
RTNPOWER-EQ,17520
925SCL25C-AR,17501
MAHASTEEL-BE,17531
1015SCL28B-AZ,17542
SCLZC26B-AY,17535
SGBFEB28IX-GB,17664
893NHB29-N6,1765
ZYDUSWELL-EQ,17635
743TN43-SG,17670
745AP40A-SG,17668
BAFNAPH-BE,17735
SOMICONVEY-EQ,17794
YATHARTH-EQ,17738
GODREJPROP-EQ,17875
NIDOZC26-N7,17868
HINDCOPPER-EQ,17939
SBICARD-EQ,17971
PGIMCSA2D-MF,17986
PGIMCSR1D-MF,17995
SANGANI-SM,18035
MINDTECK-EQ,18049
PGIMCSR3D-MF,17997
BPF02D5R-MF,18062
752PN35-SG,18083
SRGHFL-EQ,18119
BPF02IMD-MF,18065
BPF01D3R-MF,18168
BPF01MDD-MF,18170
BPF01MDR-MF,18171
BPF01QDR-MF,18173
FICRF3GP-MF,18179
FICRFD3GPD-MF,18181
IF3GPD-MF,18175
FISTIPD3WD-MF,18201
FISTIP3WDP-MF,18197
FISTIPD3GP-MF,18198
HFMPCC50RD-MF,18186
HNGSNGBEES-EQ,18284
IVZINGOLD-EQ,18292
741WB39-SG,18334
745HR35-SG,18333
VPRPL-EQ,18341
66UP31-SG,1842
747UK33-SG,18402
744AP33-SG,18400
744RJ36-SG,18408
719GS2060-GS,18474
748PN34-SG,18521
POWERINDIA-EQ,18457
RRKABEL-EQ,18566
JIWANRAM-ST,18565
KIRLOSBROS-EQ,18581
SIGNATURE-EQ,18743
925SCL28C-BS,18859
1003SCL30-BW,18874
KINGFA-EQ,18944
SJVN-EQ,18883
746RJ33-SG,18939
753HR33-SG,19179
10IIFL29-N6,19045
KIRLOSIND-EQ,19025
SFL-EQ,19184
SGBSEP31II-GB,19456
BOROLTD-EQ,19401
772AP36-SG,19620
COMMITTED-ST,19516
771RJ33-SG,19617
771UP33-SG,19748
776AP37-SG,19726
773BR38-SG,19904
774AS33-SG,19892
SHANTHALA-ST,19755
SCLZC26C-NB,19772
77GA33A-SG,19910
759RJ46-SG,19906
858HUDCO29-NC,19966
743REC35-NH,19926
SGBJAN29X-GB,2003
718AP33-SG,20020
736PFCL28-N2,19974
SCLZC25D-NJ,20039
718HP32-SG,20108
ARIHANTSUP-EQ,20159
GREENPOWER-EQ,20110
1050SCL30-NU,20111
662HR41-SG,2019
AKSHARCHEM-EQ,20178
BEDMUTHA-EQ,20196
WABAG-EQ,20188
ESILVER-EQ,20257
756JK48-SG,20230
750GA30-SG,20218
758GJ26-SG,20367
724GR2033-GS,20448
778NL33-SG,20395
888IHFL25F-NC,20427
860CIFCL28-NG,20443
77AP38-SG,20482
ASLIND-ST,20503
WIPL-EQ,20481
717KA29-SG,20573
DOMS-EQ,20551
718GJ30-SG,20696
765HP35-SG,20738
65AP30-SG,20654
SUPERHOUSE-EQ,20616
699JK31-SG,2074
10ISFL26-N3,20771
771HDFCB33-N0,20753
695HP33-SG,20859
765NBFID38-N0,20841
766TN33-SG,20928
74GJ26-SG,20926
767HR35-SG,20944
685TN51-SG,2097
719JK29-SG,20959
940SCL26B-Y6,20986
925SCL25B-Y3,20977
664UP30-SG,21
965SCL28B-YB,21010
990SCL26B-Y7,20995
8AS30-SG,21048
875SCL23A-YI,21028
980SCL33B-YL,21044
SURANASOL-EQ,21077
694GA30-SG,21139
AKANKSHA-SM,21121
629HP26-SG,21140
778PN37-SG,21165
855TCAPS27-N7,21194
9TCAP28-N9,21221
AXISNIFTY-EQ,21252
815LTF27-NO,21231
9HFL34-N0,21233
771KA38-SG,21283
772MH35-SG,21271
MDL-SM,2132
702BR30-SG,21375
66GA30-SG,21389
649KA30-SG,21390
698AS31-SG,2134
MAGADSUGAR-EQ,21392
MFSL-EQ,2142
727AS29-SG,21550
HINDMOTORS-EQ,21676
768CG32-SG,21499
768KA39-SG,21513
767AP38A-SG,21510
624HR26-SG,21640
67PN30-SG,21719
PASHUPATI-SM,21657
77AP42-SG,21825
8MN30-SG,21923
655KL30-SG,21901
BOSCHLTD-EQ,2181
698MH28-SG,21939
727MH30-SG,21942
654MH30-SG,21932
76MH30-SG,21934
72MZ29-SG,22018
652NL30-SG,21993
717MP35-SG,21973
711MP30-SG,21963
721PY28-SG,22024
715RJ30-SG,22054
745RJ30-SG,22036
654RJ30-SG,22059
65UP30-SG,22081
71WB30-SG,22151
735CG30-SG,22162
75TR30-SG,22137
735WB30-SG,22177
706UK30-SG,22166
624TS26-SG,22187
664TS50-SG,22183
785UK30-SG,22201
694TS60-SG,22207
660TS30-SG,22195
717GJ30A-SG,22222
717BR30A-SG,22223
693GJ31-SG,2230
TIRUPATIFL-BE,22284
WORTH-EQ,22277
669TS50-SG,22371
644GJ29A-SG,22337
65KA30-SG,22368
HDFCNIFBAN-EQ,22433
665GJ30-SG,22406
705NL31-SG,2242
NOVAAGRI-EQ,22477
76GJ33-SG,22493
725GJ26-SG,22603
83117SMF25-N1,22486
748MP41-SG,22623
749MH36-SG,22617
748WB43-SG,22703
748WB44-SG,22705
ZENITHDRUG-ST,22806
745CG33-SG,22864
1025UCL25-N8,22835
747RL34-NL,22813
BSLIQPIIDP-MF,22844
74MH35-SG,22992
797SFL30-N0,22921
RKSWAMY-EQ,23043
860CIFC29-NQ,23012
738UP34-SG,23086
736JK49-SG,23102
737RJ45-SG,23101
735PGCIL34-N1,23061
747UK34-SG,23196
835KSFL27-N0,23168
795NIIF36-N2,23140
745WB44-SG,23214
747GA34-SG,23198
742KL49-SG,23216
780BFL27-N0,23240
747CG33A-SG,23345
747CG32-SG,23343
746AS31-SG,23341
773LIC34-N2,23248
890MFL27-NK,23361
SRM-EQ,23402
NAMAN-ST,23382
ASPIRE-ST,23401
746AP43A-SG,23434
739AP30-SG,23421
743MH39-SG,23429
818CANF29-N1,23449
BHARTIHEXA-EQ,23489
SINCLAIR-EQ,23480
CGRAPHICS-SM,23468
ALUWIND-SM,23474
723GS2039-GS,23518
745MH38A-SG,23536
JNKINDIA-EQ,23621
747HP33-SG,23673
747AP37A-SG,23677
752RJ34-SG,23633
AAFS27B-N4,23669
743TS41A-SG,23678
747PN32-SG,23753
897MOFSL29-N4,23706
745AP33A-SG,23754
742AP45-SG,23757
743MN36-SG,23816
902MFL27-NO,23768
737RJ34B-SG,23872
736KL36-SG,23874
HOACFOODS-SM,23822
744PFCL34-NB,23920
830SMF29-N6,24039
BEACON-SM,23922
925SCL26D-ZD,23932
SCL310524A-ZK,23950
MID150CASE-EQ,24077
739UK30-SG,24051
865TVSH29-N0,24041
723WB41-SG,2414
739PN33-SG,24099
1050IIFL29-ND,24143
WINNY-SM,24173
734WB42-SG,24197
731AP44-SG,24202
734RJ34-SG,24181
733RJ44-SG,24203
737TS42-SG,24339
RELIABLE-EQ,24378
98VFPL28-N0,24284
738JK49-SG,24421
GGBL-ST,24442
732TS36-SG,24487
732HR36A-SG,24488
735MZ37-SG,24489
74CB34-N0,24514
727MH34-SG,24647
TROM-SM,24642
850CIFL27-N0,24604
735WB40-SG,24654
734HR36-SG,24650
733AP39-SG,24652
735RJ49-SG,24661
364D310725-TB,24669
731KL40-SG,24757
DHARIWAL-SM,24747
ASHALOG-SM,24711
BSLNIFTY-EQ,24781
849ABSLI34-N0,24819
721TN34-SG,24841
728TS45-SG,24836
727JK49-SG,24837
724WB42-SG,24889
719TN34-SG,24895
845NOM27A-N0,24903
IDEALTECHO-ST,24956
723AP46-SG,24995
PREMIERENE-EQ,25049
ORIENTTECH-EQ,24961
YAARI-BE,25003
706TN29A-SG,25105
725ML34-SG,25108
725MH45-SG,25101
745ABL34-N0,25143
EBANKNIFTY-EQ,25258
723KL45-SG,25216
714KL47-SG,25365
713MH37-SG,25360
713MH43-SG,25364
785TRPEL34-N0,25372
717AS31-SG,2548
12VCCL27-N0,25464
727PFCL31-N0,25435
840CIFL27-N0,25393
712HR36-SG,25501
SCL25924A-N1,25544
1015SCL29B-N1,25558
INDOUS-EQ,25503
79SHFL27-N0,25593
SHAKTIPUMP-EQ,25574
1075SCL34C-N1,25570
975SIPL27B-N0,25631
920HFL30-N0,25622
THESL-SM,25648
DIFFNKG-BE,25673
711BR33A-SG,25701
69KA27-SG,25699
RUPA-EQ,25724
DIVYADHAN-ST,25680
705UK29-SG,25765
714BR33-SG,25768
712KA33-SG,25767
716JK49-SG,25775
364D161025-TB,25824
HYUNDAI-EQ,25844
715MN39-SG,25961
712INBK34-N0,25931
1015UCL26-N1,25912
OCCLLTD-EQ,25918
EMULTIMQ-EQ,25996
729KA39-SG,2656
758SDIL31-N0,25982
PEARLPOLY-EQ,2610
717UP31-SG,2676
713HR36A-SG,27004
POLYPLEX-EQ,2687
VERA-ST,2667
890BTL31-N0,27025
875BTL28-N0,27029
TBZ-EQ,27037
708GJ33-SG,27114
KMEW-EQ,27084
182D230525-TB,27156
713GA34-SG,27150
714NHB34-N0,27130
770SHFL29-N0,27158
704GJ32-SG,27327
C2C-ST,27277
EIEL-EQ,27213
INNOVANA-EQ,27754
785ABHFL28-N0,27713
ETML-SM,27629
935TSIIC33-N0,27526
AUTOAXLES-EQ,278
780SICC29-N0,27907
RSWM-EQ,2794
712BR34-SG,28213
713MZ39-SG,28241
ANUHPHR-EQ,28314
773BR39A-SG,21539
764GJ34-SG,21503
764HP39-SG,21512
728JK30-SG,21646
APEX-EQ,21623
BRNL-BE,21687
DIXON-EQ,21690
66MH31-SG,21937
57KA26-SG,21927
773MZ39-SG,21872
SBILIFE-EQ,21808
72NL29-SG,21996
712MP35-SG,21966
70MH28-SG,21944
833TPL27-N5,21953
708PY26-SG,22025
688PY31-SG,22026
711MZ30-SG,22020
545RJ25-SG,22022
717RJ30-SG,22044
788RJ32-SG,22065
657RJ30-SG,22056
575RJ25-SG,22055
719UP29-SG,22092
793UP30-SG,22084
709UP30-SG,22096
775TN30-SG,22104
705WB30-SG,22143
698WB35-SG,22149
714SK30-SG,22154
739TS59-SG,22203
59TS25-SG,22184
765TS30-SG,22188
729GA29A-SG,22224
70TS51-SG,2227
62RJ27-SG,22272
NDRAUTO-EQ,22255
646JK30-SG,22303
642PN30-SG,22298
549RJ25-SG,22300
654MP35-SG,22297
677AP40-SG,22422
TOTAL-EQ,22423
MINDSPACE-RR,22308
807NIIF39-N1,22416
671TS50-SG,22457
68GS2060-GS,22438
67PN40-SG,22456
767WB43-SG,22507
766HR36-SG,22501
86CIFC29-NN,22556
HEALTHADD-EQ,22592
746TS45-SG,22625
752AS34-SG,22612
705WB31-SG,2265
745EXIM28-N0,22661
8ABHF34-N4,22635
NDRINVIT-IV,22680
744TS46-SG,22706
748AP44-SG,22704
748IRFC34A-NQ,22735
747CG31-SG,22744
744MP40-SG,22756
DEEM-SM,22799
810TCHFL27-ND,22768
742TN34-SG,22866
830TFSIL27-N2,22854
850NIRMA27-N7,22811
840NIRMA26-N6,22809
744WB41-SG,22871
744WB44-SG,22874
744RJ34-SG,22867
743MH35-SG,22877
GOLDCASE-EQ,22901
820ABHF27-N5,22925
840GIL27-N1,22907
RMFINMRGG2-MF,22961
74TN34-SG,22990
67JK30-SG,23
74BR39-SG,22986
HAL-EQ,2303
738HR35-SG,23087
MUNJALSHOW-EQ,2307
SHREEKARNI-SM,23074
755PFC27-NA,23109
10NFL25-N9,23117
18MVL27-N0,23111
HEIDELBERG-EQ,2316
747AS34-SG,23197
NCC-EQ,2319
NMFINARDR1-MF,23163
75SK34-SG,23200
745MH38-SG,23208
950IIFL27-Y2,23242
759IRDA34-NC,23250
748TS50-SG,23335
752GA39-SG,23357
742KA32-SG,23342
1050SCFL31-Z2,23311
171NSETEST-EQ,23446
746AP44-SG,23425
744MH41-SG,23430
754PN32-SG,23630
AAFS34A-N5,23671
DRSCARGO-ST,23488
742AP44-SG,23681
753RECL34-NP,23749
WINSOL-SM,23714
SILKFLEX-SM,23736
364D230525-TB,23821
QUESTLAB-ST,23796
MANDEEP-ST,23782
734AP48-SG,23883
865CIFL29-NW,23900
719SK31-SG,2384
825SMFG27-N1,23898
722AP37-SG,2395
SCL310524-ZF,23937
965SCL26A-ZB,23928
99SCL27-ZH,23944
738KL55-SG,24003
98SCL34-ZS,23972
735KA39-SG,2400
1025SCL34A-ZT,23974
723GJ27-SG,24096
718HR41-SG,2407
825TPL27-N6,24035
735RECL34-NS,24075
VADILALIND-EQ,24196
793TPRE34-N0,24255
DTL-SM,24313
842GIL27-N0,24253
CONSUMBEES-EQ,2435
735TN34-SG,24332
739ML34-SG,24334
AAFS28-N0,24317
DHANUKA-EQ,24409
KARMAENG-EQ,24385
BANSALWIRE-EQ,24386
736GA34-SG,24564
736RJ34-SG,24565
820ABSLI34-N0,24443
EFFWA-SM,24435
VLINFRA-SM,24606
739IREDA39-N0,24580
735TS40-SG,24568
734AP49A-SG,24660
730KL52-SG,24663
RPEL-EQ,24735
1650RARL27-N0,24693
SSEGL-SM,24697
729TS40-SG,24766
729JK45-SG,24761
ONGC-EQ,2475
728TS38-SG,24843
706GJ29-SG,24839
AESTHETIK-SM,24830
SUNLITE-SM,24868
724BR33-SG,24894
724HR36-SG,24886
781TCHE27-N0,24883
364D210825-TB,24898
ORIENTHOT-EQ,2493
SGBOCT25-GB,250
725BR33-SG,25007
726PN36-SG,24985
785IIFL27-N0,25058
722HPCL29-N0,25014
PARAMATRIX-SM,25069
719TN32A-SG,25106
725AS44-SG,25100
747SIDBI29-N0,25132
AUSL-ST,25251
726BOB34-N0,25176
711BR33-SG,25353
VASWANI-EQ,25340
INNOMET-SM,25320
713AS34-SG,25355
704MH29-SG,2542
845GHFL29-N0,25374
DECCANTRAN-SM,25421
715WB44-SG,25478
715RJ31-SG,2545
815SICC27-N0,25451
PSFL-SM,25431
724RJ36-SG,2560
990SCL27B-N1,25548
925SCL26F-N1,25537
GFL26-N0,25624
WOL3D-SM,25602
JISLDVREQS-EQ,25684
729KA36-SG,2566
713AS39-SG,25691
ESSARSHPNG-EQ,25634
715WB44A-SG,25697
878MUTF29-N0,25742
VIKASECO-EQ,25756
714SK34-SG,25771
722KA38A-SG,2578
713MH37A-SG,25773
708KA34B-SG,25831
72RJ46-SG,2584
GODAVARIB-BE,25943
715BR34-SG,25958
715KA36-SG,25959
AMJLAND-EQ,2598
USHAFIN-ST,25955
NIFTY,26000
IT-EQ,2627
67HR30-SG,26
LIQUIDPLUS-EQ,27075
747IIFCL27-N0,27035
PFIZER-EQ,2643
364D131125-TB,27120
712HR37-SG,27117
722UCL34-N0,27181
SWANENERGY-EQ,27095
RAYMOND-EQ,2859
10IIFL28A-NE,2871
712PGCIL34-N0,28615
RCF-EQ,2866
715BR34A-SG,28814
716HR37-SG,28816
NMSTEEL-ST,28804
SANATHAN-EQ,28805
IHFL261224-N1,28854
SENORES-EQ,28888
925SCL26Z-N1,28897
965SCL26Y-N1,28898
ROSSELLIND-BE,28917
965SCL29S-N1,28924
948SCL27R-N1,28921
717AP38-SG,28993
DUCON-EQ,28952
87HFL26-N0,28979
102CCSP27A-N0,28967
ECAPINSURE-EQ,29019
950ISF26A-N0,29017
TVSHLTD-EQ,29008
712TS54-SG,29070
715BR40-SG,29063
723PN37-SG,29115
738REC27TF-N2,29111
995SCL35-N0,29105
723MH41-SG,29123
RIIL-EQ,2912
720LT35-N0,29233
NIF100BEES-EQ,29577
865MFL28-N0,29469
790ABHFL27-N0,29557
DENTA-EQ,29256
718BR45B-SG,29702
715BR37B-SG,29704
715AS35B-SG,29692
AJAXENGG-EQ,29624
716MP37A-SG,29705
12VCCL27B-N0,29749
ROYALARC-ST,29730
364D270226-TB,29911
72KA37-SG,29927
91PEL35-N0,29756
722HR38A-SG,29928
72AS45-SG,29939
72OR45-SG,29940
72RJ42-SG,29938
727MP48-SG,29993
825TCSL28-N0,29963
SANGHIIND-EQ,2997
74PFCL35-N0,29971
728AP36-SG,30009
722TN33-SG,30000
721GJ35-SG,30005
722RJ35-SG,30006
726TN55-SG,30025
ATULAUTO-EQ,30023
WONDERLA-EQ,3002
727PY33-SG,30076
689TN28-SG,30175
724KL43-SG,30082
ORIENTCEM-EQ,30089
704TN30B-SG,30178
820CANF27-N0,30194
925SCL27A-N1,30202
CURAA-BE,30191
739SIDBI30-N0,30267
948SCL28-N1,30240
971SCL30-N1,30230
NMFINAIDR1-MF,30215
SILVERCASE-EQ,30274
91D260625-TB,30409
GCHOTELS-SM,30286
687TN28-SG,30414
364D260326-TB,30411
704KA32-SG,30422
705MP32-SG,30420
707TS52-SG,30452
703HR35-SG,30430
703KA33-SG,30428
FELDVR-BZ,30491
69ML30-SG,306
699WB36-SG,3089
682PN36-SG,3085
846REC28-N6,30984
BARBEQUE-EQ,3127
MCX-EQ,31181
SCHNEIDER-EQ,31234
694TS50-SG,322
888NHB29-N5,31969
866NTPC33-N3,31762
TRANSWORLD-EQ,3129
678JK33-SG,3244
682ML31-SG,3238
TEMBO-BE,3280
SUNDRMFAST-EQ,3345
VALIANTORG-EQ,330
STARPAPER-EQ,3291
SURYAROSNI-EQ,3375
TATACHEM-EQ,3405
TATAPOWER-EQ,3426
SWARAJENG-EQ,3384
694AP37-SG,3513
769IGT28-NH,3451
795IGT31-NI,3457
82IGT31-NJ,3464
HEALTHIETF-EQ,3626
SGBOCT25V-GB,355
TORNTPHARM-EQ,3518
NAM-INDIA-EQ,357
ARIHANTCAP-EQ,3813
VARDMNPOLY-EQ,3646
KHAITANLTD-EQ,3912
PARASPETRO-EQ,3972
ZUARIIND-EQ,3827
GLOBE-BE,400
NAVA-EQ,4014
TNPL-EQ,3980
AEGISLOG-EQ,40
677WB40-SG,42
GS150625C-GS,4154
687AP38-SG,41
AUSOMENT-EQ,4037
GS200925C-GS,4205
GS261025C-GS,4222
GS151225C-GS,4314
DENORA-EQ,4279
GS100426C-GS,4381
GS100526C-GS,4384
GS020126C-GS,4332
MIRZAINT-EQ,4394
NEXT50IETF-EQ,4529
GS220250C-GS,4552
703TS51-SG,4556
713AP36-SG,4766
707MP32-SG,460
68MH31-SG,4579
679WB28-SG,4877
LAKPRE-BZ,4774
SNOWMAN-EQ,4843
688GJ31-SG,4893
ENGINERSIN-EQ,4907
SAREGAMA-EQ,4892
ABSLFTTIRG-MF,4969
70UK31-SG,5040
633AS26-SG,4982
CLEAN-EQ,5049
875PCHFL26-N8,5151
9PCHFL31A-NA,5160
TATVA-EQ,5162
UGROCAP-EQ,5313
REXPIPES-SM,5309
GMDCLTD-EQ,5204
698GJ31-SG,5334
692HR30-SG,5415
624MH26-SG,5330
WINDLAS-EQ,5366
697UP31-SG,5421
698UP31-SG,5473
628GJ27-SG,5524
VIJAYA-EQ,5585
PAR-BE,5637
SFMP50GR-MF,5602
687AP40-SG,5741
LAGNAM-EQ,5865
CYIENT-EQ,5748
975SCL28-NT,5857
687BR30-SG,5970
688KA31-SG,5986
693KA32-SG,5987
CYBERTECH-BE,6054
LICNETFGSC-EQ,6062
675GJ29-SG,6093
97SFL28-YS,6168
699HR31-SG,6211
695KA31-SG,6210
SIKKO-EQ,6218
SGBNOV26-GB,6355
634RJ27-SG,6307
696RJ31-SG,6327
LAMBODHARA-EQ,6407
SGBNV29VII-GB,6518
70AP38A-SG,6563
671TN29-SG,6741
699GS2051-GS,6696
LATENTVIEW-EQ,6818
833GS2036-GS,6883
693HP32-SG,6880
TARSONS-EQ,6943
VISHNU-EQ,6908
692AP41-SG,6992
DMCC-EQ,6973
AARTIIND-EQ,7
BSOFT-EQ,6994
83GS2042-GS,7034
604AS26-SG,7038
687AS31A-SG,7041
666TN29-SG,7050
683BR30-SG,7043
ACCELYA-EQ,7053
772GS2025-GS,7123
SHALBY-EQ,714
813GS2045-GS,7124
SBIETFQLTY-EQ,7218
JTLIND-EQ,7287
HCLTECH-EQ,7229
STAR-EQ,7374
714JK36-SG,7543
703AS31-SG,7512
70MN31B-SG,7530
771NIIF35-N0,755871
8034ABCL34-NE,755953
812ABCL28-NG,755955
803ABCL33-NF,755954
703NBFID30-N0,755988
9IIFL26-NV,756139
IIFL21425-NY,756142
78618ABH28-N0,756043
364D020426-TB,756149
820MFL30-N0,756714
975IIFL28-Y0,756144
765TML27-N0,756175
679AP34A-SG,756906
IIFLHF29-NE,7674
ABCOTS-SM,7787
702RECL40-N0,756741
724TN32-SG,7904
SGBJAN30IX-GB,7879
ALEMBICLTD-EQ,79
MALLCOM-EQ,7965
ZYDUSLIFE-EQ,7929
737TS36-SG,8121
62RJ26-SG,8010
737AP42-SG,8123
BLBLIMITED-EQ,8132
AJANTPHARM-EQ,8124
713BR32-SG,8298
712GJ32-SG,8324
713KA38-SG,8301
735PY33-SG,8358
712TN30-SG,8352
713HR42-SG,8336
733TN57-SG,8372
651HP30-SG,840
CALSOFT-BE,8400
GATEWAY-EQ,8510
729GJ32-SG,8683
CHALET-EQ,8546
CHOICEIN-EQ,8866
SFMP61GR-MF,8651
734AP40-SG,8932
711MH29-SG,8935
718MH30-SG,8934
UNITECH-BZ,8893
752AP42-SG,8977
HARIOMPIPE-EQ,8968
